"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1114",2022-04-05,36,35,1,"Pittsburgh","Colorado",1,1,1,2,2,3,4,6,-120,100,-110,100,-1.5,1.5,"210","-240",6,-105,-115,6,-110,-110,1,1,1114,15,1,0.523809523809524,0.5,0.511627906976744,0.488372093023256,0,0,1114
"1115",2022-04-05,38,37,1,"Buffalo","Carolina",0,1,2,0,2,1,4,2,205,-255,240,-270,1.5,-1.5,"-120","100",6,-110,-110,6,105,-125,1,1,1115,15,1,0.294117647058824,0.72972972972973,0.287267080745342,0.712732919254658,0,0,1115
"1116",2022-04-05,40,39,1,"Detroit","Boston",1,2,2,0,2,1,5,3,165,-195,180,-200,1.5,-1.5,"-150","130",6,-105,-115,6,100,-120,1,1,1116,15,0,0.357142857142857,0.666666666666667,0.348837209302326,0.651162790697674,0,1,1116
"1117",2022-04-05,42,41,1,"Nashville","Minnesota",3,1,1,1,2,0,6,2,-105,-115,-108,-102,1.5,-1.5,"-270","235",6,-110,-110,6,100,-120,1,1,1117,15,1,0.519230769230769,0.504950495049505,0.506971556051311,0.493028443948689,0,0,1117
"1118",2022-04-05,44,43,1,"Dallas","NYIslanders",2,1,1,1,0,0,3,2,-140,120,-122,112,-1.5,1.5,"200","-230",5.5,-115,-105,5.5,-115,-105,1,1,1118,15,1,0.54954954954955,0.471698113207547,0.538115845539281,0.461884154460719,0,0,1118
"1119",2022-04-05,46,45,1,"SanJose","Edmonton",1,0,0,0,0,1,1,2,155,-185,155,-170,1.5,-1.5,"-155","135",6.5,-105,-115,6.5,-110,-110,1,1,1119,15,1,0.392156862745098,0.62962962962963,0.383795309168443,0.616204690831556,0,0,1119
"1120",2022-04-06,48,47,1,"Washington","TampaBay",3,2,1,0,0,1,4,3,130,-150,132,-145,1.5,-1.5,"-190","170",6,-110,-110,6.5,-125,105,1,1,1120,16,1,0.431034482758621,0.591836734693878,0.421396628826969,0.578603371173031,0,0,1120
"1121",2022-04-06,50,49,1,"Winnipeg","Detroit",0,1,1,0,0,2,1,3,-290,235,-270,240,-1.5,1.5,"-115","-105",6,100,-120,6.5,-120,100,1,1,1121,16,0,0.72972972972973,0.294117647058824,0.712732919254658,0.287267080745342,0,1,1121
"1122",2022-04-06,52,51,1,"St.Louis","Seattle",1,0,1,1,2,0,4,1,-245,195,-220,200,-1.5,1.5,"120","-140",6,-115,-105,6,-110,-110,1,1,1122,16,1,0.6875,0.333333333333333,0.673469387755102,0.326530612244898,0,0,1122
"1123",2022-04-06,54,53,1,"Vegas","Vancouver",1,2,0,2,0,1,1,5,-150,130,-178,159,-1.5,1.5,"145","-165",5.5,100,-120,5.5,100,-120,1,1,1123,16,1,0.640287769784173,0.386100386100386,0.623826148142134,0.376173851857866,0,0,1123
